차바, 53, 142
자마, 68, 148
가카, 84, 176
자카, 70, 159
자파, 96, 191
아마, 85, 160
타차, 44, 150
파파, 69, 167
다라, 44, 196
사마, 50, 148
파아, 57, 157
가가, 54, 175
타가, 93, 199
가바, 94, 155
가가, 44, 169
바하, 71, 158
차카, 40, 154
나다, 41, 152
차파, 59, 152
가하, 61, 191
마바, 42, 194
다마, 45, 181
마자, 74, 155
자파, 81, 147
하마, 80, 181
다아, 61, 187
아카, 70, 157
사다, 41, 149
다다, 86, 157
자가, 52, 164
차자, 82, 160
라아, 70, 148
바나, 85, 198
차바, 99, 177
바아, 44, 155
하파, 63, 167
자나, 64, 188
타차, 84, 166
차타, 59, 163
파라, 93, 168
나바, 94, 168
가사, 76, 150
파자, 51, 173
마가, 93, 164
자아, 63, 152
바타, 46, 148
가나, 93, 155
가카, 64, 158
가차, 84, 185
다가, 94, 164
마바, 75, 185
자바, 45, 194
아하, 77, 163
마카, 52, 142
나가, 44, 198
파하, 92, 146
자나, 90, 154
타파, 90, 158
차차, 82, 166
다다, 50, 140
타바, 98, 163
파라, 74, 176
바차, 62, 171
자가, 92, 189
다아, 92, 167
사바, 84, 180
다카, 92, 144
나라, 68, 196
사사, 48, 186
바사, 42, 170
사다, 98, 160
나타, 94, 142
카라, 58, 198
아하, 79, 182
다카, 52, 152
하라, 58, 154
타아, 63, 166
아타, 82, 149
바카, 81, 176
아아, 90, 167
파가, 62, 142
라차, 61, 182
카다, 86, 189
가라, 97, 148
다나, 68, 180
마아, 42, 161
다사, 68, 146
하다, 56, 153
차나, 89, 197
아사, 95, 192
자파, 79, 194
다사, 93, 158
카차, 48, 197
자나, 70, 191
타다, 48, 176
마라, 70, 191
라나, 47, 156
자사, 60, 176
나사, 98, 142
자다, 63, 153
나아, 75, 189
자바, 87, 141
타라, 71, 198
사사, 48, 184
가파, 76, 178
차하, 73, 151
카자, 83, 198
타다, 45, 157
사하, 93, 178
하다, 98, 174
사타, 48, 195
카바, 66, 180
가하, 56, 141
카아, 56, 148
사나, 65, 161
하다, 45, 179
마타, 65, 174
라차, 95, 147
타카, 72, 153
자하, 68, 196
카바, 74, 195
바자, 94, 161
나파, 43, 154
마가, 47, 183
카마, 95, 177
하카, 60, 179
바바, 52, 199
카가, 57, 181
타사, 79, 175
아사, 87, 153
파자, 67, 149
나다, 61, 183
가마, 75, 150
아라, 91, 180
나라, 82, 142
자가, 61, 168
라마, 77, 150
가사, 94, 181
타사, 54, 196
파타, 74, 161
타사, 80, 166
자카, 81, 189
바바, 87, 190
파마, 63, 163
다바, 96, 194
가타, 87, 169
사바, 76, 177
타나, 40, 195
자파, 85, 159
카자, 72, 187
다파, 95, 186
카차, 74, 192
다차, 62, 187
차바, 59, 157
바가, 99, 140
차아, 45, 177
바자, 58, 183
다라, 63, 158
하파, 72, 175
마타, 74, 190
아마, 84, 165
파하, 57, 149
라가, 64, 150
나마, 47, 158
마하, 53, 151
마다, 67, 152
차사, 51, 191
파카, 93, 140
파라, 55, 188
아하, 61, 162
가파, 55, 144
라자, 68, 195
라가, 57, 170
다가, 70, 141
자하, 40, 190
라마, 62, 191
하마, 47, 158
마파, 95, 153
바타, 89, 166
나자, 55, 160
카타, 80, 166
차가, 41, 159
카나, 53, 151
다아, 71, 198
카카, 75, 171
타마, 69, 182
타타, 81, 160
가파, 59, 188
나다, 82, 148
마사, 45, 158
라하, 57, 148
다마, 63, 171
타차, 50, 190
나타, 62, 154
하파, 72, 171
나사, 93, 196
가하, 96, 179
라아, 91, 191
바가, 56, 147
바마, 69, 194
타타, 75, 156
바바, 82, 169
바바, 96, 182
마다, 60, 168
사가, 80, 172
마바, 66, 180
자하, 49, 140
나자, 60, 175
라차, 74, 168
타파, 62, 179
다아, 91, 146
카가, 43, 171
아아, 59, 158
하아, 66, 171
하라, 77, 155
바사, 86, 164
자바, 65, 144
나가, 66, 190
다타, 89, 151
가타, 44, 142
타사, 68, 167
타아, 73, 186
카가, 59, 145
사다, 68, 176
아하, 64, 164
타아, 86, 166
가마, 44, 146
아차, 84, 148
다라, 45, 177
파바, 82, 159
나가, 79, 171
타다, 89, 191
파카, 97, 199
라사, 86, 191
하사, 85, 190
사마, 61, 164
자다, 82, 164
가사, 46, 145
차나, 41, 187
차하, 63, 153
타하, 91, 182
차타, 62, 156
마바, 42, 152
사타, 57, 184
하바, 43, 171
나자, 62, 184
타라, 83, 177
라차, 62, 157
파아, 56, 195
다타, 52, 146
파나, 91, 182
사마, 98, 159
사파, 42, 152
사타, 80, 191
타바, 87, 156
바자, 82, 190
하다, 60, 172
파자, 59, 157
다카, 98, 176
차차, 62, 168
마파, 76, 188
자카, 61, 194
다타, 77, 177
라나, 89, 173
마다, 95, 197
타파, 59, 163
파다, 68, 144
사바, 72, 177
다타, 63, 141
파카, 74, 181
마나, 85, 156
라차, 65, 173
아하, 42, 185
마아, 77, 191
카사, 58, 160
사바, 79, 174
사나, 94, 182
바라, 65, 186
카파, 69, 163
자나, 40, 176
차마, 55, 161
가나, 45, 187
파차, 68, 178
파다, 62, 164
가나, 73, 188
마마, 92, 143
가타, 78, 187
사사, 50, 196
차나, 68, 147
하마, 82, 144
다하, 79, 150
가하, 88, 150
라가, 49, 149
파하, 62, 197
자바, 69, 174
하나, 88, 154
마바, 44, 184
차라, 44, 150
바나, 77, 140
차차, 61, 192
나다, 98, 192
가가, 42, 149
아차, 80, 187
아아, 64, 144
차사, 65, 178
나가, 51, 179
카아, 49, 157
마차, 42, 153
하카, 85, 150
다파, 44, 196
하타, 72, 167
하차, 68, 174
다라, 48, 152
라가, 95, 180
자하, 79, 188
나나, 52, 165
차마, 97, 144
마카, 50, 146
하하, 75, 197
나파, 77, 178
자마, 60, 187
파가, 52, 142
라카, 97, 171
다아, 52, 162
아하, 97, 154
하아, 42, 156
하타, 97, 169
차차, 55, 163
바나, 97, 180
카다, 45, 147
타자, 83, 154
라사, 63, 169
사바, 98, 199
타파, 62, 170
타파, 64, 192
가카, 60, 184
바나, 74, 194
카차, 63, 188
라사, 54, 185
다파, 68, 180
하마, 49, 162
하자, 47, 149
하차, 83, 173
나타, 46, 192
다다, 67, 148
하사, 83, 148
하바, 88, 167
가아, 98, 142
파라, 75, 169
마나, 71, 174
차라, 81, 150
아자, 96, 174
마나, 59, 144
사차, 61, 165
차사, 97, 162
하아, 43, 170
사라, 64, 191
카아, 61, 141
차아, 50, 196
아자, 79, 188
하바, 94, 181
차자, 51, 181
타바, 96, 144
라다, 60, 152
차타, 45, 187
다아, 57, 143
마다, 95, 168
타라, 49, 161
바하, 83, 156
라차, 78, 188
타바, 40, 195
사바, 54, 171
타자, 79, 189
차하, 73, 172
파바, 41, 146
다나, 45, 140
카나, 87, 148
마자, 40, 159
바나, 69, 182
파카, 51, 191
나타, 51, 160
차자, 68, 140
하아, 99, 148
바파, 69, 194
타카, 85, 187
아하, 59, 153
파바, 97, 167
차가, 73, 184
하타, 80, 191
하카, 66, 145
가다, 44, 140
파카, 93, 163
타자, 40, 175
타바, 75, 152
하타, 68, 188
카차, 73, 162
아카, 95, 193
타아, 66, 157
타나, 48, 178
마차, 51, 150
나아, 98, 157
타가, 72, 183
자하, 75, 180
카카, 99, 172
차다, 58, 149
가카, 94, 178
나하, 82, 183
다아, 63, 178
나마, 66, 161
차마, 71, 159
자가, 67, 174
타차, 45, 191
파자, 80, 176
아차, 75, 141
다마, 65, 180
파나, 98, 195
타타, 92, 192
타다, 97, 189
차라, 59, 193
아차, 95, 156
가다, 83, 165
타아, 79, 168
카아, 71, 176
라하, 41, 181
바차, 74, 165
파사, 77, 188
하마, 61, 182
차파, 66, 166
차가, 71, 178
아차, 43, 170
타아, 59, 171
사자, 55, 144
차라, 90, 143
파가, 78, 165
차카, 51, 154
타타, 81, 141
타가, 75, 153
아자, 59, 167
가타, 68, 198
가나, 52, 186
자아, 73, 169
다카, 57, 199
자아, 94, 149
다나, 56, 177
타차, 52, 167
가아, 81, 192
파가, 96, 194
나나, 89, 168
가자, 44, 157
차파, 83, 185
라카, 53, 146
파가, 60, 146
바자, 40, 142
나자, 74, 143
바나, 55, 140
나타, 52, 173
라차, 51, 149
사파, 60, 157
파바, 89, 196
